date,username,content,replyCount,likeCount,retweetCount
2022-07-26 14:20:03+00:00,CompAndChoices,"Happy 32nd to the Americans with Disabilities Act, @ADANational  🎉🎈

Disability rights are civil rights. Using the hashtag #ThanksToTheADA, you're invited to share how the #ADA has impacted your life!

#Healthcare #CivilRights #ADA32 #Education https://t.co/OMRuTnGTvp",1,6,1
2022-07-23 18:37:05+00:00,_dormousesighs_,"Fomo-ing into a possible bear market bottom. Stacking #BTC #XRP #QNT #ADA #MATIC #XLM #ICP and #ALGO. (ICP hashtag logo should be a bottle of Faygo but whatever)

This will either work perfectly, or fail, and I’m ok with that. https://t.co/4q3lDJNJDZ",2,1,0
2022-07-15 23:32:35+00:00,cardanocatclub,"Come hang with us on our WEEKLY development stream, got some more cool game updates for yall to check out &lt;3

https://t.co/EreBZzpnPN

#CCC #CNFT #CNFTCommunity #P2E #Cardano #Cat #Club #ada #game #nft #hashtag #meow",0,6,0
2022-06-22 16:33:44+00:00,adapacific,Today is the day! Join us at 10 AM PT for the next #ADA Network Twitter Chat! Use the hashtag #ADANetworkChat to join in on the conversation on #Accessibility and the ADA! https://t.co/SPyq3KCYG8,0,1,0
2022-06-21 07:12:45+00:00,JAlbizo,What hashtag should we use to address the Cardano Community? #ADA #Cardano #CardanoADA #bussin #bot #cryptocurrency,1,0,0
2022-06-18 01:00:01+00:00,PasinoCom,"Be one of the winners of the weekly #Pasino #Giveaways is as easy as

🔹Follow @PasinoCom
🔹RT &amp; 💙
🔹Tag 2 friends
🔹Use hashtag #Giveaway #Cardano $ADA

🏆2 winners of $50 each in #ADA
 
🕘Draw at Sunday, June 19 at 9:00 PM EST
#cryptocurrency #casino #Bitcoin https://t.co/B4FX3z40Nh",916,750,738
2022-06-14 03:24:20+00:00,fuixlabs,@OmfgSid I appreciate the spirit of your request. But the fact is that #CNFT is a 4 character hashtag that talks directly to the Cardano NFT community. I love that we have the short #ADA and #CNFT hashtags! Cannot give that up.,0,7,2
2022-06-13 16:14:36+00:00,CryptoVelda,"Bought so much of the #dip that I am the fucking dip! No chips. #NFTs serving me like #Gold. 👾🕊️ 
#cryptocurrency #CryptoMarket #inflation #HODL #altcoins #Bitcoin #ADA #broke #richwithin #binance #marketcrash #STEPN #hashtag https://t.co/nH5nFL3hUM",0,1,0
2022-06-08 18:00:03+00:00,BFFC_NFT,"Every time you see a flamingo item, just take a picture and post it on Discord and Twitter with the hashtag #FlinderContest

3 winners... 1500 VET + 5 NFTs

Join our Discord to discover more:
https://t.co/t39ORP9gfh

#BoredFlamingo #VFlamingos $VET $WOV #WoV #VNFT #ADA https://t.co/bVWgalv7KM",5,26,11
2022-06-05 12:38:15+00:00,GullsSales,"Salty Seagulls Society Sale! Operative Hashtag Mavericks sold for 218.0 ADA at https://t.co/wOMpsAgx4Q

https://t.co/s8zhz7N1Fu

#saltyseagullssociety #cnft #ada https://t.co/r9XMB2YSq2",0,6,0
