date,username,content,replyCount,likeCount,retweetCount
2022-07-28 17:22:41+00:00,Chiknwhalegod,"#avax community is dropping 🔥🔥 if your not keeping up with #AverageBok4Coq scroll the #AvaxB4C hashtag. Feel free to create your own entry by Friday 10pm est
Top prize is a @Smol_Joes 💀🔺@avalancheavax https://t.co/ETB89iC3n6",5,49,16
2022-07-25 10:23:36+00:00,BrewsterAnsel,aeyakovenko please tell your marketing or pr team to  add sol #logoI can see hashtag #btc #BNB #AVAX   has logo,0,0,0
2022-07-23 15:24:02+00:00,dikayodata,#AVAX has a hashtag emoji now ❤️ https://t.co/24v5wtIpiD,1,8,0
2022-07-21 22:28:24+00:00,joepunksnft,"It's time for @avaxchaddoge's holders!🐕

If you own an #AVAX Chad Doge and want a spot in our whitelist:

1. Like this tweet 💖
2. Quote it with a picture of your Chad Doge and the hashtag #JoepunksWLWeek 
3. Tag three frens

20 winners! GL everyone 🔥

 #Avalanche #NFT https://t.co/BsWSi0qwsB",57,109,42
2022-07-18 18:44:15+00:00,joepunksnft,"GM! ☀️

It's time for the first #JoepunksWLWeek contest ⚡

@chikn_nft holders, this is your chance to get a spot 🐔

Quote this tweet with a picture of your Chikn/Roostr /Farmland

Make sure to include your c-chain address and the hashtag #JoepunksWLWeek 🐓

#AVAX #NFT https://t.co/h9LGjevMMh",19,62,13
2022-07-14 04:10:56+00:00,RyujiApeheart,"Want a chance to win a WL spot for @DominanceNFT? 🔥

1️⃣ RT this tweet 
2️⃣ Follow @DominanceNFT
3️⃣ Leave a comment with the #Dominanceszn hashtag

#AVAX #NFTs #avaxnftszn https://t.co/2cekyJUWGs",2,6,2
2022-07-14 00:07:39+00:00,ShakesCrypto,"Ahh yes.. next fighter giveaway for Relaunch of @Underground_nft Resurrection! (Doin this all week)
Deets: 
Quote RT with #UGResurrection &lt;- hashtag 
AND a pic of one of your UG Fight Club fighters! 
 #avax #nfts #p2e #P2Egaming with #avaxNfts https://t.co/kXRwIGC0pC",16,34,19
2022-07-13 19:45:49+00:00,Da_PuffMeister,Is it important to #hashtag #tweets on #cryptotwitter about all matters #avax🔺 related?,0,0,1
2022-07-13 11:34:34+00:00,traderjoeintern,@AvalancheIntern Twitter took our 🔺 from the #AVAX hashtag..can you and @kevinsekniqi do some ting…🫡 https://t.co/rl32Ex4wqc,2,17,4
2022-07-12 07:16:10+00:00,avaxoshi,"when #AVAX hashtag loses the emoji

panic!",2,9,0
2022-07-12 03:00:01+00:00,CLOUD_vadar,"Bruh… I just got this @smoldoomers and he already smoked two packs of cigarettes 
#AVAX #FreeMint #DEGEN #HASHTAG https://t.co/QW3nK0uI4r",2,7,3
2022-07-11 09:23:27+00:00,EvolutionAvax,Dont forget use hashtag #Avalanche and #Avax . Let's get it trending everyday #Avangers,0,0,0
2022-07-08 12:48:59+00:00,IMNftrader,"NFT Giveaway:

It's my Birthday Tomorrow and i am giving away a @Dogeon_Official NFT to one lucky person. To qualify:

✅ Follow @IMNftrader 
✅ Tag 3 friends with hashtag #AVAX #NFTGiveaway #Avalanche 
✅ Retweet this tweet. 

#Airdrops #NFTGiveaways #NFTGiveaway #AvaxNftRush https://t.co/hVYqTnlG2T",1,6,1
