date,username,content,replyCount,likeCount,retweetCount
2022-07-28 02:16:07+00:00,HornJATS,"‼️#JATS REPORT DAY IS TMRW‼️
Loads of learning &amp; fun will be had, the best part…………..THE LOCK-IN😏
#TheStandard #TheTrainingShow #JFL #THEHorn 
New hashtag 👀 #BCH https://t.co/nd1dIoT6D1",1,16,1
2022-04-01 17:17:40+00:00,Panterabch,"Twitter? What happened to the Bitcoin Cash hashtag?

#BitcoinCash #BCH https://t.co/hWxD1v2Imx",5,30,3
2022-03-22 17:57:23+00:00,_minisatoshi,"Hashtag #BitcoinCash, #BCH, $BCH in the comments, retweets, and in your own posts!",1,13,2
2021-11-23 13:14:29+00:00,jahangirbalti1,"#BitcoiCash quickly became the 3rd most successful cryptocurrency, following #Bitcoin and #etherium.
Get some #BCH by take part is @humahil giveaway by using hashtag #humahilgivesbch 
@SmartBCH @StalkersCrypto @btcfork @SheriUcar @MTrenzs",0,3,0
2021-10-18 02:14:58+00:00,christopherheil,@Quinnvestments And actively suppressing the real bitcoin #BCH #BitcoinCash. Try the hashtag see what comes up...,0,1,0
2021-10-11 06:18:12+00:00,etherbalance,"@TwitterSupport You should really update the icon you add after the #Βitcoin hashtag. 
The icon changed more than 4 years ago!

Intentionally letting people think BTC is Bitcoin could be considered as fraud.

And add the ones for #BitcoinCash and #BCH while you're at it. https://t.co/tGPxHEF5Hi",0,0,0
2021-09-25 10:38:40+00:00,etherbalance,"Twitter censors #BCH #BitcoinCash
Twitter's suggestions show BCH forks but not BCH itself. The #BCH #BitcoinCash hashtag is suppressed in other ways. 
You won't  see ""Recent Tweet from"" in your notifications for users supporting Bitcoin Cash.
https://t.co/1MkjVuuOf0 is a fascist.",6,42,5
2021-09-20 13:42:17+00:00,Code__Assassin,"Notice twitter censors #BCH #BitcoinCash 
Twitter's suggestions on ""Discover new lists"", ""For You"" and ""Topics"" shows BCH forks but not BCH itself. I wouldn't be surprised if the BCH hashtag was suppressed. Maybe we should start adding #cash, #finance, #Economics to posts.",0,1,0
2021-08-01 12:19:03+00:00,MTrenzs,Let's make #BCH on top 🔝 hashtag,0,6,1
2021-07-28 16:15:36+00:00,tittiesNfreeShT,Met a tree .   #furngully #fungus #amongus #delta #bch #ltc #hashtag #altcoin #bizarre #happy #love #god #ontheshoreline @ Superstition Mountains https://t.co/lj37aB2eS9,0,0,0
2021-04-26 20:16:45+00:00,GeorgeDonnelly,Hashtag scaling! #BCH https://t.co/6zB1cgm5md,0,7,0
2021-04-24 11:54:12+00:00,stonksrus,"Sorry #Hashtag People
(even with $tsla there)

$Cashtag People WIN 1600 to 1200

#WAVES #ATOM #btt #ftt #cro #eth #btc #busd #neo #wbtc #fil #theta #sol #xlm #usdc #vet #link #bch #ltc #uni #dot #doge #ada #usdt #xrp #bnb #BONFIRE https://t.co/ionjBqsdGo",0,1,1
2021-04-21 04:37:13+00:00,wearecryptoarmy,"Dogecoin cryptocurrency slumps after hashtag-fueled surge to record high | Reuters

#altcoins #coins #etf #blockchain #bitcoin #cryptocurrencies #dogecoins #xrp #eosio #xlm #cardano #dot #aave #eth #btc #BNB #celsiusnetwork #Tron #bch #LTC #ripple #ethereu https://t.co/LTfpjm6Gnv",1,1,0
2021-04-16 17:55:50+00:00,crypto100,"Let’s get this hashtag trending

#crypyofomo

We’ve all had Crypto FOMO at some point this year 😁

#FOMO #doge #dogecoin #DogecoinToTheMoon #DogecoinRise #xrp #XRPCommunity #XRPCommunity #btc #bch #Crypto #cryptocurrency #cryptocurrenices",0,1,0
2021-04-15 14:57:51+00:00,GeorgeDonnelly,"@Bitcoin_Sam @chaintuts @crypt0snews #BitcoinCash doesn't have just one GitHub, chief. You don't know what you are talking about

And we often tweet about #BCH using the #Bitcoin hashtag so it is not so easy to measure

Nice try",2,3,0
2021-04-13 10:56:17+00:00,Garfoldd,Twitter does not seem to suggest the BCH hashtag at all 🤔 #BCH https://t.co/PVdV237OWZ,7,33,5
2021-04-08 17:41:42+00:00,BitcoinCashA,"What's your favorite #BitcoinCash hashtag?👀

Vote or let us know your favorite in the comments.✍️

$BCH #BCH",4,28,10
2021-03-24 13:00:07+00:00,BitcoinUnlimit,"Earn #cryptocurrency by getting tipped with $BCH on twitter! 💰

1️⃣Register your name at https://t.co/6v3MqBAJH9
2️⃣Post on Twitter using the hashtag #bitcoincash and your https://t.co/6v3MqBAJH9 address

Learn more about the #BCH tipping platform👇
 https://t.co/rEoZExyEje",2,31,5
2021-03-24 12:55:35+00:00,BitcoinCashAU,@be_cashy @BCHArgentina @BCHLatam @BitcoinOutLoud @VainilaMarket @BitcoinBCHcom @BitcoinCom Dont' forget to hashtag tweets with #BitcoinCash #BCH 😁,1,4,0
2021-02-20 08:30:59+00:00,IdkSamad,"#BitcoinCash is the only crypto currency which is planting trees instead of fee's #BCH is future cash they are thinking for our future so we have to appreciate their efforts let's make a trend with hashtag #bch #bitcoincash on twitter to highlight bch and aware other peoples
#BCH https://t.co/DGKzX54kPH",3,4,1
2021-02-11 15:49:31+00:00,HabibiAndrian,"My friends, let's support the love program BCH on Twitter by spreading information about bitcoin cash and using the hashtag #LoveBCH #Club1BCH #BCH #BitcoinCash 
Writing, Reading, or Focus on BCH? https://t.co/6XfQSb1dPq https://t.co/uuvO3BgdgO",0,1,0
2020-07-09 18:00:51+00:00,Andrewid,"Maybe if I hashtag some crypto here it'll get some visibility?
#btc #xtz #bch #crypto #fomo #cryptocurrency",0,0,0
2020-07-03 14:17:34+00:00,panicfomo,"Hey Jack, there must be some confusion here. Why do #Etherium💩, #BCH💩, and #XRP💩 have the same hashtag emoji?

Even #BSV🤮 emoji works properly!",2,34,5
2020-05-31 09:07:50+00:00,SolarPhasing,"@elperfilbajo Ola, welcome! 🖖😎
Just followed you on #readcash
We are only a few using the hashtag to promote.. 
Mass adoption. #BCH",1,2,0
2020-03-21 03:39:37+00:00,EconomicMayhem,"#tlot Hashtag News: @georgedonnelly: 'Seeing more than a few people getting restricted and shadowbanned right now.

Where do we go if twitter gets ministry-of-truth'd?

@twobitidiot @MessariCrypto 

#bitcoincash #bch #t… https://t.co/KnvHHUi2d0, see more https://t.co/pznsHVPJRZ",0,0,0
2020-03-12 11:08:15+00:00,nils_leone,NO PANIC ! HODL !!! Hashtag in support of bitcoin  -#GODBLESSBITCOIN ! #blockchain  #ETH #BTC #XPR #FSN #BCH #LTC #NEO #EOS #XLM #XMR #ADA #XVG #TRX #BCN #ETC #TRON #AION #ZIL #ICX #OCN #LSK #NANO #BTM #NKN #QSP #halving #bitcoin #money #germany #Australia #Europe #USA #Japan https://t.co/V3PWwvQPfS,2,2,0
2020-02-20 23:53:37+00:00,SkyHODL,"#BCH ₿   &lt;--- emoji ??
#BitcoinCash ₿  

BCH needs its own hashtag emoji

@twitter, @rogerkver, 
@BCH Community https://t.co/UwGPEPxJrb",2,1,0
2020-02-08 19:42:34+00:00,coinnames,"https://t.co/EFbzyV6074 on sale for $500

#cryptomining #mine #crypto #hashrate #pools #bitcoins #cryptofarms #cryptomines #mines #hash #howto #smartcontract #smartcontracts #bitcoin #ethereum #cryptocurrency #bsv #Satoshi #cryptomine #pool #hashing #hashtag #hashed #bch #bchsv https://t.co/VEtnozuJMF",1,4,1
2020-02-02 20:43:18+00:00,milko52250068,"@ShapeShift_io BREAKING: Twitter added a new portion of hashtag emojis like

 #BTC

#TRON 🤡

#BCH 🙈

#ETH 🤓

#BSV 🚮

#XRP 💤

#BTT ☠️ https://t.co/e3LhkZO8Tp",0,2,0
2020-02-02 17:12:39+00:00,milko52250068,"@IvanOnTech BREAKING: Twitter added a new portion of hashtag emojis like #BTC

#TRON 🤡

#BCH 🙈

#ETH 🤓

#BSV 🚮

#XRP 💤

#BTT ☠️ https://t.co/ahv96uIU4Z",0,0,0
2020-02-02 16:42:31+00:00,milko52250068,"@udiWertheimer BREAKING: Twitter added a new portion of hashtag emojis like

 #BTC! 

#TRON 🤡

#BCH 🙈

#ETH 🤓

#BSV 🚮

#XRP 💤

#BTT ☠️ https://t.co/2GUs11wu3E",0,0,0
2020-02-02 11:18:24+00:00,blockandchain,"BREAKING: Twitter added a new portion of hashtag emojis like #BTC! 

#TRON 🤡

#BCH 🙈

#ETH 🤓

#BSV 🚮

#XRP 💤

#BTT ☠️",47,320,31
2020-02-02 09:57:05+00:00,BitcoinErrorLog,"Oh, wow, they added more hashtag emojis!
#bcash🖕
#BCH💩 
#XRP🤖 
#ethereum🤡",7,143,10
2020-02-02 08:12:02+00:00,jdmcnaught,#Bitcoin now has its own emoji which automajically appears when you type in th hashtag! How awesome is that? #btc too! #bch? Nope. #bsv? Nope. Just #bitcoin and #btc!,0,2,0
2019-11-26 12:26:51+00:00,fuck_fiat,"How the fuck you guys think any stores will accept crypto as payment?

Let me tell you. 

INTERLEDGER PROTOCOL USING XRP.

If I could hashtag 3000 shitcoins below I would. 

#btc #eth #ltc #eos #bch #xlm #bnb #bsv #neo #trx #ada",1,9,0
2019-10-28 20:55:37+00:00,hashtag_watcher,"#xrp #eth #trx #ltc #ada #bnb #bch new graphs live, take a look at: https://t.co/PKrKS5xY0A",0,2,1
2019-10-25 09:50:19+00:00,hashtag_watcher,"#xrp, #eth, #trx, $ltc, #bnb, #bch, #ada - it is so slow now... calm weekend everybody? more at: https://t.co/PKrKS5xY0A #cryptotrading",2,2,1
2019-09-25 09:48:38+00:00,hashtag_watcher,"Update!
Support for #XRP, #ETH, #LTC, #BCH, #ADA! We have seven coins you can observe! (including #TRX, #BNB). 
Alerts - leave the tab open, and if something interesting will happen, we will notify you!
Checkout: https://t.co/PKrKS5xY0A 
#cryptotrading #cryptomood #twitterwatcher",0,3,0
2019-09-22 18:07:31+00:00,1reizu,@AnchorX_io I'm glad you used the hashtag #BCH (I made a purchase at AnchorX this week using Bitcoin Cash). If one day you include the BCH logo on the web it would be great.,0,0,0
2019-09-14 02:07:09+00:00,ArianaA50282756,"CALLING ALL L.A. PEOPLES!please forward &amp;share this chili has been spotted &amp; almost saved but jumped out of the ladies car near MacArthur Park in LA! Please help find chili!! #bch use the hashtag (Bring CHili Home) og from Azusa,ca #lacity #ktla5
#firedog #bordercollie #lostdog https://t.co/nFG8vu0i75",0,58,18
2019-08-12 15:48:33+00:00,nup77JxCepzA7jI,"Blockchain is basically a glorified linked list. A data container; and when a block is formed it chains up with the previous hashtag to another block and therefore it forms a block of chains.  https://t.co/pcWcvqlQ1S  

#BCH #ETH #XRP #Netherlands #Denmark https://t.co/fQpmgWTmA2",0,1,1
2019-08-08 06:23:17+00:00,nup77JxCepzA7jI,"Blockchain is basically a glorified linked list. A data container; and when a block is formed it chains up with the previous hashtag to another block and therefore it forms a block of chains.  https://t.co/pcWcvqlQ1S  

#ada #ether #BCH #Litecoin #Tron #Ethereum #durban https://t.co/U7fvR1Smpr",0,1,2
2019-08-07 21:59:40+00:00,nup77JxCepzA7jI,"Blockchain is basically a glorified linked list. A data container; and when a block is formed it chains up with the previous hashtag to another block and therefore it forms a block of chains.  https://t.co/pcWcvqlQ1S  

#BCH #BitcoinCash #crypto #Altcoin #Bitcoin https://t.co/8wiCPNgb3k",0,1,2
2019-07-22 12:48:54+00:00,Username_Bart,"Roger knows #BSV works 😉

Notice he didn’t hashtag BTC but all he talks about these days is comparing #BCH to #BTC

#Bitcoin is #BSV but Roger won’t talk about it anymore. https://t.co/znfNZPmWM1",0,0,0
2019-07-22 08:21:54+00:00,nup77JxCepzA7jI,"Blockchain is basically a glorified linked list. A data container; and when a block is formed it chains up with the previous hashtag to another block and therefore it forms a block of chains.  https://t.co/pcWcvqlQ1S  

#xrp #BCH #BigCryptoEnergy #BullsInsteadOfFools #4Afrika https://t.co/VARles6GDa",0,1,2
2019-05-30 16:28:43+00:00,Kelvin_Hashtag,How sure #officialmacafee coin going to make it to the coin market of #cryptocurrency like others. #BTC #Coin #EOS ###BCH #LTC #XRP,0,0,0
2019-05-30 12:30:08+00:00,Kelvin_Hashtag,I choose a side on top cryptocurrency. #ETH #XRP #BTC #BCH #LTC #EOS #coinmarketcap,0,0,0
2019-03-09 10:50:31+00:00,webnowcompany,"#BTC #BCH Recently, Coinbase has stepped its toes into a filthy controversy since their acquisition of Neutrino. Thus, the hashtag #DeleteCoinbase is gaining ground ...Read more: https://t.co/YUqh5Jxfiu",0,0,0
2019-03-04 13:40:06+00:00,JoeManzanares,"Coinbase Director Defends Exchange Over #DeleteCoinbase Hashtag
👉👉 https://t.co/49fivEVVXA  /By Adrian Barkley

#BlockChainNews
#BTC #BCH #LTC #ETH #XLM #EOS #ADA #DASH #XRP #ETC #XMR #USDT https://t.co/NdgTGl86jc",0,2,0
2019-01-02 13:25:40+00:00,CryptoCoinValue,"The FUD Stompers: Like It or Not, XRP Army Is Winning Cryptos Hashtag War https://t.co/D54pE6CVrT via @CoinDesk #xrp #crypto #btc #bch",0,0,0
2018-12-05 14:10:20+00:00,cryptowealth10,"Indian Police Seize Unocoin's ATM, Arrest Two Founders - https://t.co/Fu7TWGaAAK - #bitcoin #ethereum #cryptocurrency #blockchain #altcoins #eth #btc #cryptomining #cryptonews #bch #learneverythingbitcoin &lt;Follow our Hashtag&lt;&lt;",0,0,0
2018-11-19 18:45:47+00:00,cryptomazter,"Can us, the crypto community, come together and just STOP buying any $BCH - ABC or SV or whatever. Teach these egomaniacs a lesson. Let's make #BCH irrelevant. I hardly have any Twitter juice, but I hope some influencers carry fwd this hashtag #boycottBCH

https://t.co/EimVArCuxU",0,0,0
2018-11-16 14:36:43+00:00,HiddenViewz,"Ite boom, we’re branching out our BAME Creatives Hub Facebook group to Twitter to find more opportunities and connections for artists. Drop the #BCH hashtag beside what you’re looking for or an opportunity and we’ll RT and post on our Facebook group. Ok go! 👊🏾",2,7,9
2018-10-18 16:11:59+00:00,BitcoinWorm,@el33th4xor @nishantsharma87 We have a new hashtag #BSVision apparently it’s #Faketoshi Vision for #BCH,0,1,1
2018-10-17 22:48:13+00:00,cryptogratisate,Passive income alert! Mine crypto from your #android #Electroneum #fotografie #ethereumclassic #bch #green #c #instapic #ig #follow #photos #money #ada #landscape #zcash #hashtag #teamcanon… https://t.co/WhRNyqF830,0,1,1
2018-09-17 09:57:47+00:00,alistrago_crypt,@FuzeX_co Are you supporting #BTC or #BCH? There is hashtag “#btc” in the tweet 😉,0,0,0
2018-09-03 05:49:06+00:00,_Cash4you_,"SocialGood is the next big thing  in 2019-2020 [1 sg more then 10000$]  
1 SG 100$ 
buy SG    With  bonus +31% 1 SG (69$)  : https://t.co/wtPJdrV174
Be a #millionaire
#SmartNews #SmartContract #MillionaireBooklet #blockchain #hashtag #Airdrop #Bounce #BTCUSD #nextbigthing #BCH https://t.co/b5giBL01Jt",0,1,1
2018-08-09 06:26:19+00:00,_opreturn,Testing hashtag #BCH https://t.co/FgXtxLYL5u,0,0,0
2018-07-31 20:59:34+00:00,studio1st,"Tomorrow is the day where we celebrate #Bitcoin #BCH Rebirth. 

What are you going to be doing? 

We're going to be celebrating to the max and will post plenty of photos! Use the Hashtag #BitcoinRebirth &amp; join in with the fun! 

Also follow @RealCoinGeek 

#bitcoincash",1,26,8
2018-07-14 09:00:07+00:00,Cloudbet,Calling all #Crypto Kings and #Bitcoin ballers! Follow @Cloudbet and guess the #price of #BTC or #BCH at kick off of the #WorldCup final for a chance to win a Nano Ledger S! Don't forget the #CloudbetWorldCup hashtag! Details: https://t.co/CxssiLYIJc #cryptocurrency #competition,0,0,0
2018-07-13 17:45:02+00:00,Cloudbet,"We are running a #Bitcoin Price Predictor #competition with two Nano Ledger S up for grabs! Simply follow @Cloudbet, and tweet your guess for the price of #btc or #bch at kick off time of the final with the #CloudbetWorldCup hashtag! Details here: https://t.co/CxssiMgk7M",0,0,0
2018-07-12 17:30:08+00:00,Cloudbet,"We are running a #Bitcoin Price Predictor #competition with two Nano Ledger S up for grabs! Simply follow @Cloudbet, and tweet your guess for the price of #btc or #bch at kick off time of the final with the #CloudbetWorldCup hashtag! Details here: https://t.co/CxssiMgk7M",0,0,0
2018-07-11 21:30:02+00:00,Cloudbet,Calling all #Crypto Kings and #Bitcoin ballers! Follow @Cloudbet and guess the #price of #BTC or #BCH at kick off of the #WorldCup final for a chance to win a Nano Ledger S! Don't forget the #CloudbetWorldCup hashtag! Details: https://t.co/CxssiMgk7M #cryptocurrency #competition,0,0,0
2018-07-11 11:30:02+00:00,Cloudbet,"We are running a #Bitcoin Price Predictor #competition with two Nano Ledger S up for grabs! Simply follow @Cloudbet, and tweet your guess for the price of #btc or #bch at kick off time of the final with the #CloudbetWorldCup hashtag! Details here: https://t.co/CxssiMgk7M",0,0,0
2018-07-11 06:00:10+00:00,Cloudbet,Calling all #Crypto Kings and #Bitcoin ballers! Follow @Cloudbet and guess the #price of #BTC or #BCH at kick off of the #WorldCup final for a chance to win a Nano Ledger S! Don't forget the #CloudbetWorldCup hashtag! Details: https://t.co/CxssiMgk7M #cryptocurrency #competition,0,0,0
2018-07-10 17:30:05+00:00,Cloudbet,Calling all #Crypto Kings and #Bitcoin ballers! Follow @Cloudbet and guess the #price of #BTC or #BCH at kick off of the #WorldCup final for a chance to win a Nano Ledger S! Don't forget the #CloudbetWorldCup hashtag! Details: https://t.co/CxssiMgk7M #cryptocurrency #FRABEL,0,0,0
