date,username,content,replyCount,likeCount,retweetCount
2022-05-06 05:14:34+00:00,toddfmaki,"In a coin race: 1st to reach $1000 dollars, who wins?
#hashtag your answer below 👇🏼
       #DCR
       #LTC 
       #ZEC
       #DASH",5,10,0
2022-03-26 11:56:39+00:00,DashinThailand,"Dash Next’s @FelixMagoCrypto in the Name of #Dash at the @blockconfex 2022 on 30th March. For event registration use the hashtag #VNC2022, more event details can be found over the link below: https://t.co/sG1ufAn4Oo https://t.co/6I1madN0Kn",1,24,2
2021-12-20 20:01:49+00:00,WonderWorkshop,There is still time to join us and show off your creativity. Post your photos &amp; videos of Dash &amp; Dot in costume and use the hashtag #holidayDash and tag us! We might feature you on our social channels! #coding #dash https://t.co/oLQWucanPG,2,9,2
2021-12-15 20:01:59+00:00,WonderWorkshop,Join us and show off your creativity. Post your photos &amp; videos of Dash &amp; Dot in costume and use the hashtag #holidayDash and tag us! We might feature you on our social channels! #coding #dash https://t.co/Nk5DCiEZpU,3,20,4
2021-12-08 19:48:31+00:00,jaumebosch,@Dash_Community @Nano_Whatelse Asking to not add the #dash hashtag in the tweets is a polite way of censoring IMHO,1,1,0
2021-11-23 18:02:03+00:00,WonderWorkshop,Thanksgiving is just a few days away. Join us and show off your creativity. Post your photos &amp; videos of Dash &amp; Dot in costume and use the hashtag #thankfulDash and tag us! We might feature you on our social channels! #coding #dash https://t.co/bHvzYzUeQf,1,8,0
2021-10-13 20:13:24+00:00,Crypt_onic,"@collision In contrast to the majority of the #cryptocurrency out there, #Dash is actually being used in the real world. Simply have a look at the hashtag #DashDirect and you know why you need to digg into @Dashpay 👌",0,8,1
2021-08-02 11:39:55+00:00,be_cashy,"@TaoOfSatoshi Hmm, should I be using the #DASH hashtag with all my $BCH videos? 🤔",0,0,0
2021-04-11 15:37:17+00:00,The_News_UNIT,******IS THERE A DASH HASHTAG OUT THERE?*****#DASH******DASH IS DIGITAL CASH******IS THE NEW WORLD ORDER MOVING INTO DIGITAL CASH?****** https://t.co/6Ms95K8fQI,0,0,0
2021-02-20 12:59:27+00:00,Rock228VIX,"Time out, what the f! 
Binance has a symbol on their hashtag but not Ethereum? 

How does this work? How much does #Dash have to pay @jack to get their symbol? 

Centralized Binance before other coins? Psshhhtttt! 

#Binance 
#BinanceSmartChain",0,8,1
2021-02-01 16:22:41+00:00,faridaelchuzade,@parandroid_ @FlutterDev @googledevs @Google @lifeatgoogle Cheer up for completing 30 Days of Challenge and post #Dash all over social media with hashtag #30DaysOfFlutter 😀,1,2,0
2021-01-13 17:30:34+00:00,realtruthstat,@WinkProgress @hakeem_jeffries @Basquerading #dash (dumb as shit) retweet if you agree with hashtag #dash,1,0,0
2021-01-12 21:31:28+00:00,Dash_Memes,"To the #dash community and all other blue colored #cryptocurrencies that are flexing lately. I have found an interesting hashtag (#bluewave) to document and commemorate the occasion. 

#dashto500 #dashto15000 https://t.co/JFtqKdXhY1",0,22,0
2020-11-22 18:06:57+00:00,VeChain_VET,"Why $XRP is the best #digitalasset for #payments you ask?
Here's a simple comparison chart that takes into account three criteria: #speed vs #cost vs #scalability.
Coins compared with #XRP are #BTC vs #ETH vs #BCC vs #DASH vs #LTC.
Hence the very famous hashtag: #xrpthestandard😉 https://t.co/UXglh4mlAg",1,6,1
2020-11-12 16:09:04+00:00,webnowcompany,"#DASH #BWK #XZC #PIVX #SPHR #BTC If you are an avid participator in social media discourse in the crypto sphere, it is likely you have encountered the #masternodemebro hashtag on Twitter. ...Read more: https://t.co/Y1Pl8bA6lg",0,0,0
2020-08-28 21:30:16+00:00,CamelbackToyota,We want to hear your story! Tell us about your experience using Camelback Toyota digital retailing by using the hashtag #DASH! https://t.co/wh30rFyUqS,0,0,0
2020-07-28 21:59:01+00:00,CryptoBullGod,"These daily #xrp wicks look like pogo sticks, seems to want to continue to bounce up
$xrp #xrpbtc #xrpeth #altseason #crypto #cryptocurrencies 

#bitcoin #ripple (I placed the ripple hashtag immediately after bitcoin intentionally;) ) 

#xrpcommunity #xrparmy #btc #dash #zec #ltc https://t.co/htJ8YE3m0C",0,2,0
2020-06-08 22:30:26+00:00,webnowcompany,"#DASH #BWK #XZC #PIVX #SPHR #BTC If you are an avid participator in social media discourse in the crypto sphere, it is likely you have encountered the #masternodemebro hashtag on Twitter. ...Read more: https://t.co/Y1Pl8bA6lg",0,0,0
2020-03-24 10:00:35+00:00,Smartvin90,"@julianhosp @kazmonavt @realDonaldTrump Sounds legit 
#Bitcoin #whenmoon #kannspurenvonhumorenthalten
#bitpanda #cake #obwirsiejezusammenführen #manweißesnicht #diehoffnungstirbtzuletzt #crypto #cryptofit #hodlnvstrading #wasistdeinweg #fragenüberfragen #hashtag #einfachweilichskann #kryptode #btc #eth #link #dash",0,0,0
2019-12-02 08:40:00+00:00,Abba641,# hashtag Enjoy zero transaction and withdrawal fees in the Tron Market at https://t.co/oZuOCQejPy  @justinsuntron https://t.co/wu9gbPbRjB #tron #trx #free #trading #btt #btc #eth #ltc #usdt #dash #eos #xrp #ripple #crypto #binance #bnb #coinex #cet #airdrop,0,1,0
