date,username,content,replyCount,likeCount,retweetCount
2022-03-22 05:01:35+00:00,CryptoPillar_,"@MarzellMoney Hey there, thanks for the follow. I’ve got one question though. WhY is #EOS not in your hashtag list? 🤔 
The 2nd coming is coming",0,1,0
2022-01-27 18:26:48+00:00,ArleyM,I'm bearish on @CanonUSA having success with the #EOS hashtag any time soon https://t.co/LUJKBUufkb,1,2,0
2022-01-12 14:08:41+00:00,Rich_Downing,@RUDEMUDCRAB Saw the #eos hashtag. Assumed it was meaningful. Maybe that’s obvious.,0,1,0
2021-12-11 20:38:33+00:00,jabba_mandel,I hope we get a #EOS twitter logo with the rebrand so we can hashtag our way to the 🌙,2,24,3
2021-11-08 21:01:46+00:00,GregKnight_CFP,@ArleneDMoss Just FYI... #EOS takes you right to the cryptocurrency for EOS IO blockchain platform. Is this session solely on crypto technology; or do the session organizers need a new hashtag?,0,1,0
2021-11-07 07:13:42+00:00,freshlivncrypto,"@ArtistByron You should hashtag your tweets? #crypto #cryptocurrency #eos #EOSIO #btc #ada #xrp #LTC #cardano #DeFi #XRPcommunity #bitcoin
Get some spread 👍",0,0,0
2021-10-05 03:32:17+00:00,ArtistByron,"I am up for auction ... kinda
https://t.co/Y2rMrD1X3s
.
it's #EOS and it's a wild ride that has only just begun.
Thanks to @nsrempel for the push, and @EOS_Bees @eoswatchdogs @EOS_Nation @EOS_Foundation_ and of course @EOSIO 
I hash and tag for maximum hashtag",0,4,1
2021-09-28 06:57:29+00:00,StauffelAcolyte,@stauffelbaker This will be my epitaph. Hashtag and all. #eos,1,1,0
2021-08-08 17:21:02+00:00,JohnDStanton3,"@PeachResist @MarilynRMarks1 🎯@PeachResist🎯

BMDs in 1 word: porous.

We charge our devices via USB ports (see 📸).

#EOs use USB ports AKA portals, to program, load updates etc, on #USBSticks (no photo; tap Hashtag).

Bad actors / #Hackers w/ direct BMD access can load malware in &lt; 5s on USB sticks.
1/ https://t.co/2ym2WzR4o0",1,0,0
2021-08-02 19:33:08+00:00,Michaelvejar4,#ETC stagers it’s way more upward slow but steady remember to polish them diamond hands and keep them safe nothing more nothing less let’s go #ETCFAM we got this new hashtag #ETCFAM LETS GET THIS HASHTAG MOVING TODAY 🤘🤘💎💎🤲🤲#etc #eth #doge #btc #btt #eos #ada #DiamondHands,0,8,2
