date,username,content,replyCount,likeCount,retweetCount
2022-07-09 06:57:11+00:00,kkloor,"„…I didn’t say anything wrong, / but I don’t long for yesterday…” 
 
#wrong #yesterday #anhedonia 
#beatles #bitlisz 
#hashtag #etc @Szív utca https://t.co/sXHvdGIE3E",0,0,0
2022-07-05 10:38:00+00:00,HackerTDog,Y’alright Cockers!! Look at this beauty spotted at #glastonbury I’m hashtag proud cockers… #innocentmen #viral #virus #etc https://t.co/P8IBh1fzm0,5,346,26
2022-07-05 10:37:27+00:00,Phil_Gluvets,Y’alright Cockers!! Look at this beauty spotted at #glastonbury I’m hashtag proud cockers… #innocentmen #viral #virus #etc https://t.co/S5amp1lWmp,3,122,13
2022-07-04 18:38:08+00:00,adam_jandro,Time and space between moments can be circumvented if one wants too by realizing the transitory nature of where and when. #adamjandro #thestoryofyandautopiasrefugees #utopia #thestoryofyanda #utopiasrefugees #hashtag #comicsdoingcomics #snowballschanceinhell #minneosta #etc https://t.co/le5QTBScF6,0,0,0
2022-05-31 09:27:17+00:00,MonkeyDoo_NFT,"Changr your profile picture to a MonkeyDoo and use the hashtag #ETCMonkeyDoo. One will be picked as a winner of a MonkeyDoo NFT.🙊🙈🙉🐵

#ETCMonkeyDoo #MonkeyDoo #ETC #EthereumClassic #ETCArmy #nft #nftart https://t.co/NaDg60jcI7",0,9,3
2022-04-15 18:04:25+00:00,ItsRossAndMiko,"Ross&amp;MiKo Friday Show starts in 1 hr (8pm) 

We will be playing some games with chat and doing our second playtest of the card game MiKo created and having some bangarang nonsense times

#boardgames #smallstreamers #hashtag #etc https://t.co/TfSIOfu4Ue",0,3,2
2022-04-09 18:01:29+00:00,TheWorst_Tag,Say “The Worst” into a live mic and find out #WorstInTheWorld #EngageWithTheWorst #SpeakOfTheWorstAndTheWorstTheyDothAppear #Hashtag #etc https://t.co/yaBDVXRZYH,0,2,0
2022-03-15 09:05:47+00:00,kkloor,"Chill. 
 
#square 
#circle 
#hashtag 
#etc https://t.co/UKQzXlisHb",0,0,0
2022-03-13 14:58:19+00:00,ClassicSwaggos,"Swaggo Lords! Like and share this post to make the people outside the ETC community hear about @ClassicSwaggos 🚀🚀🚀

1️⃣ Like
2️⃣ Share
3️⃣ Comment a unique hashtag to bring the message yo the crowd! 😜

🟨🟨🟨🟨🟨🟨🚀🟨🟨🟨🟨🟨🟨
#NFT #NFTCommmunity #ETC #EthereumClassic #ETCArmy https://t.co/jieCoGvHxj",4,11,7
2022-02-27 22:45:48+00:00,ebooks_lewis,We're still looking for a CSS maintainer #OOCSS #SMACSS #BEM #hashtag #etc,0,0,0
2022-02-22 16:52:45+00:00,HackerTDog,"What did one raindrop say to the other? 
Twos company, but three’s a cloud… 

#weather #rain #wet #water #droplet #myface #hacker #weather #hashtag #etc https://t.co/3iUcM1gyKP",1,65,4
2022-02-15 15:34:46+00:00,HackerTDog,"Me, sprinkling hashtags all over my posts because I don’t really understand them, cockers! 

#hashtag #meatpaste #whoisbaeanyway #words #nonsense #whatisahashtag  #things #neck #knees #salt #salty #pizzacrumpets #Tuesday #Whatdayisit #whatdoyoumeanicantaddanymore #livid #etc https://t.co/xV4IYSzK5B",2,70,4
2022-02-10 18:44:19+00:00,GrandPrixDiary,Time for a hashtag fight back! #IStandWithMasi #JusticeForMichael #F1NotFixed #Etc https://t.co/JS8Xe898Mr,5,13,4
2022-01-21 19:25:09+00:00,__Odin_GS__,"Ohc to this very pretty #pixelart by Sparkle :)) I was trying something with the form here. You'll hear another attempt later. Starting to think of ways to expand and use the AB vgm tune form in creative ways...

#VGM #GameAudio #etc #hashtag https://t.co/HYztavemWl https://t.co/QKXj3EfDS6",0,13,4
