date,username,content,replyCount,likeCount,retweetCount
2022-05-06 01:56:30+00:00,mail4rosey,"Yes, and I love the #CincoOMG hashtag!  #gno #CincOMG #CincodeMayo #AlwaysGood https://t.co/4EM4RnzOrD",0,0,0
2022-04-22 01:29:49+00:00,thePositiveMOM_,A5 @MomItForward: Use the hashtag when you share. Be active in the Facebook group. Go to all the parties! LOL  #Mom2Summit #gno,0,1,0
2022-04-22 01:08:00+00:00,TroyPattee,"a1 I live in the Salt Lake City area with my wife, two boys, and a beagle named #Hashtag. ;) #Mom2Summit #gno",0,0,0
2022-02-13 20:56:33+00:00,MomItForward,"LOL! #Hashtag the Super Beagle loves everything, but #guac is definitely one of his faves. @AvosFromMexico #gno #SBLVI #Caesar #AlwaysGood https://t.co/KcHPdlr3yQ",2,13,8
2022-02-13 20:23:00+00:00,MomItForward,A3. The internet is #AlwaysGood when you Addvocados. Share the goodness using the hashtag #AlwaysGood to boost the Goodness Meter and for a chance to win $100K! https://t.co/sC0W5XQjYG #sweepstakes #gno #AlwaysGood #SBLVI #ad  #gno #AlwaysGood #SBLVI #ad #Caesar,5,19,19
2022-02-13 20:22:00+00:00,MomItForward,"A3. Avocados From Mexico is giving you one last chance to enter to win $100,000 when you share your game day preps, snacks, and gear using the hashtag from the House of Goodness https://t.co/su1GlbdIw6. #gno #AlwaysGood #SBLVI #ad #Caesar",4,19,13
2022-02-13 20:00:01+00:00,MomItForward,This afternoon's #gno Twitter Party is sponsored by @AvosFromMexico (#ad). Follow the #AlwaysGood #SBLVI hashtag to learn more. #gno #ad #Caesar,0,16,17
2022-02-13 16:00:01+00:00,MomItForward,This daytime #gno Twitter Party is sponsored by @AvosFromMexico (#ad). Follow the #AlwaysGood #SBLVI hashtag to learn more. #gno #ad,1,14,19
2022-02-10 17:16:36+00:00,katbalogger,@MomItForward GA. Be kind and others will follow. And make sure you use the #AlwaysGood hashtag to make the Goodness Meter go up! #gno #SBLVI  #ad #AvoGlowUp,0,0,0
2022-02-10 16:24:00+00:00,ForwardIM,A3 Help make the Internet a little better by spreading goodness across social media. Boost the Goodness Meter using the hashtag #AlwaysGood for a a chance to win $100k. https://t.co/gvvT0R1YwN #sweepstakes #gno #AlwaysGood #SBLVI #ad #AvoGlowUp,0,0,0
2022-02-10 16:23:00+00:00,MomItForward,A3. The internet is #AlwaysGood when you Addvocados. Share the goodness using the hashtag #AlwaysGood to boost the Goodness Meter and for a chance to win $100K! https://t.co/sC0W5XyJ78 #sweepstakes #gno #AlwaysGood #SBLVI #ad #AvoGlowUp,6,24,24
2022-02-10 16:00:00+00:00,MomItForward,This daytime #gno Twitter Party is sponsored by @AvosFromMexico (#ad). Follow the #AlwaysGood #SBLVI hashtag to learn more. #gno #ad #AvoGlowUp,4,18,22
2022-02-09 01:00:01+00:00,MomItForward,2nite's #gno Twitter Party is sponsored by @AvosFromMexico (#ad). Follow the #AlwaysGood #SBLVI hashtag to learn more. #gno #ad #art,2,16,18
2022-02-04 01:00:00+00:00,MomItForward,2nite's #gno Twitter Party is sponsored by @AvosFromMexico (#ad). Follow the #AlwaysGood #SBLVI hashtag to learn more. #gno #ad #sweepstakes,0,16,18
2022-02-01 16:00:02+00:00,MomItForward,@AvosFromMexico 2nite's #gno Twitter Party is sponsored by (#ad). Follow the #AlwaysGood #SBLVI hashtag to learn more. #gno #ad #sweepstakes,0,3,2
2022-01-28 01:00:01+00:00,MomItForward,2nite's #gno Twitter Party is sponsored by @AvosFromMexico (#ad). Follow the #AlwaysGood #SBLVI hashtag to learn more. #gno #ad #sweepstakes,2,12,14
2021-12-14 02:00:00+00:00,ForwardIM,"Heads up that I'll be tweeting in celebration of the #AmericanUnderdog Twitter Chat for the next hour. To join in, simply tweet using the hashtag #gno.",0,2,0
2021-05-05 01:56:54+00:00,Family_Forward,"@AvosFromMexico @MommyBlogExpert @celesgar @MomItForward If we include our dog, #Hashtag, we have CINCO people (all #guac lovers) in our family :D #GNO #TGICinco #CincoDeMayo #ad",1,1,1
2021-02-07 22:02:00+00:00,ForwardIM,Tweet your favorite part about https://t.co/bPI3HUn5kb including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:55:33+00:00,Candypo,Tweet your favorite part about https://t.co/BM7q9d7RAj including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:54:42+00:00,CensieJ,Did you tweet yet??  Tweet your favorite part about https://t.co/jhVoulpJcZ including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:54:11+00:00,LifeWithKathy,Tweet your favorite part about https://t.co/fcTAAEyGUf including the hashtag #GuacFromMexico and get a chance to win $1 Million!!! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,0
2021-02-07 21:54:01+00:00,EmilyReviewsCom,Don't forget! You can tweet your favorite part about https://t.co/9w3IBr7tTa including the hashtag #GuacFromMexico and get a chance to win $1 Million! #gno #GuacFromMexico #SBLV #ad #sweepstakes,0,0,2
2021-02-07 21:54:00+00:00,DeliciouslySavv,🎉Tweet your favorite part about 👉https://t.co/SzGtswxehn including the hashtag #GuacFromMexico and get a chance to win $1 Million💰! #gno #GuacFromMexico #SBLV #ad #sweepstakes https://t.co/DU1GMkDq7U,0,2,1
