date,username,content,replyCount,likeCount,retweetCount
2022-07-13 20:14:56+00:00,Zylinder187,Everybody on earth should have atleast 10 #plsd tokens                                         #shib #doge #crypto #hex #hashtag #meme https://t.co/L3ZiusVIp4,0,2,0
2022-07-07 16:07:26+00:00,ShaneThorn16,"I want you all to know that I that I think $HEX, #HEX and the community is awesome and I have learned a bunch in my first year if Crypto. I normally don't feel comfortable commenting or posting my own content much because I am so new. I do however like, retweet, and hashtag tons",1,0,0
2022-07-02 21:13:34+00:00,Love_n_Hex,"@LilHexico That’s a great question. Squeaky wheel gets the oil maybe? 
What’s up @elonmusk! How about a HEX logo attached to every hashtag that’s set beside the Nobel prize worthy https://t.co/45MlXCGA3U product #HEX $HEX",0,1,0
2022-06-25 22:04:19+00:00,jimswife87,Hey Hexicans! Use the cashtag $Hex instead of the hashtag #Hex if only using one! It's the cashtag that's been trending this last week! (Or use both!!) https://t.co/TsYuRCM9wS,0,2,0
2022-06-25 22:02:52+00:00,jimswife87,@CryptoHartbeat @RichardHeartWin Hey Hexicans! Use the cashtag $Hex instead of the hashtag #Hex if only using one! It's the cashtag that's been trending this last week! (Or use both!!),0,2,0
2022-06-25 09:12:58+00:00,jimswife87,"@ShillemDafoe Hey Shillem, reminder it's the cashtag $Hex not the hashtag #Hex that's trending! Use both or just $Hex if you're only going to do one! Much love!",2,10,0
2022-06-23 09:00:29+00:00,andylivlap,"Just remember #Hexicans everytime you tweet the hashtag $HEX you are pushing virality. @RichardHeartWin has made it very clear, this is our job. Get to work and pump your bags! #HEX just do it!",0,2,0
2022-06-22 21:53:21+00:00,HexMachineV2b,"@DouglasPeach And remember to use the CashTag $HEX, as well as the hashtag #HEX 🙏☺️",0,1,0
2022-06-21 01:08:23+00:00,VexicanHexican,Quick everyone throw up a hashtag for #Hex.  Keep this train moving! https://t.co/J3hkVpgLCk,1,10,2
2022-06-21 00:00:46+00:00,silvert41202378,"DO YOUR PART TO SPREAD THE HASHTAG #HEX 

Welcome new comers. Welcome to winning💰💰💰

Watch youtube videos on HEX and Staking HEX https://t.co/F4MJp5cmwj",0,11,4
2022-06-20 23:51:24+00:00,JRami,@hodldogofficial I've always used #HEX but I can start using $HEX too if you like and besides #HEX with #hashtag is better for #HEX since the $HEX might not reach other parts of the world even though now that I think about it $HEX is treding too so perhaps #HEX and $HEX cool,0,10,0
2022-06-19 02:27:37+00:00,EwinFilHexican,@AltcoinDailyio @olgakharif dont forget to use HASHTAG #HEX. You're doing it wrong fool,0,6,0
2022-06-14 18:53:45+00:00,SnoLorenzo,"@CosmoJenkinz @CryptoNewsShark @greencrypto22 @WhaleHex @WhaleChart @iambroots @Hexologist31 @AxisAlive @HexMackenzie @StakeHEX5555 @maximus_dao @HexStinna @RichardHeartWin @MMORTON6 @PulseGains @YouTube @4Tendies @DavidFeder @hodldogofficial #humblebrag 😃

Use the $Hex #Hex hashtag",0,5,0
2022-06-13 22:18:00+00:00,djpaulywoodWin,Even tho that tweet has #11k hashtag meme doesn't mean 11k for me - its the #MA369 hashtag I'm looking at - I'm calling out mid $13k #BTC  #HEX https://t.co/7XlETNlFOR,0,0,0
2022-06-13 21:28:22+00:00,orangejuice119,I just searched the hashtag #HEX and feel so sorry for people I don't and will not ever know 😥😥😥😥😥,1,0,0
2022-06-12 12:42:28+00:00,HEX_cellent,Hashtag #HEX is on fire today,0,5,2
2022-06-11 09:31:03+00:00,cryptoworld_NG,@tegaokaka1 @RichardHeartWin Next time add a #hex hashtag,0,0,0
2022-06-06 13:03:12+00:00,jms3_hex,"@devchart @Hexologist31 FYI, you will get more traction if you use the hashtag $Hex instead of #Hex isn’t that what you’re after?",0,1,0
2022-06-05 19:15:19+00:00,DavidJamesOne,@elonmusk how do we get a #hex icon next to the hashtag like #Bitcoin ? https://t.co/vXGWCwc6i9,0,1,0
2022-06-01 23:10:22+00:00,M0tionblur1,"So much #AmberHeard trash news mixed in with my #Hex news on twitter...Might as well capitalize on it with some hashtag arbitrage #BelieveAllWomen ...Just kidding, don't believe anyone - verify code. https://t.co/CvBB36N35s",0,1,0
2022-05-30 12:50:35+00:00,2THEMAFMOON,"@RichardHeartWin How is this ""marketing""? You've got 1 hashtag when I see at least 4 different brands on you. You also dont add the very thing youre trying to promote by not adding #hex or #pulsechain or #pulsex. At this point it's just showing off or just shilling for these brands.",0,1,0
2022-05-23 11:58:56+00:00,igloobamboo,"@RichardHeartWin is so clever, he owns the rights to the hashtag #tweetdeletedbyauthor without even paying for it!

#HEX #PulseChain #PulseX https://t.co/d8dD3gYMXq",0,2,0
2022-05-13 14:50:12+00:00,0xBabyWhale,@GymRatCrypto Why no #hex hashtag 🤷🏼,0,0,0
2022-05-11 20:18:32+00:00,prodatatools,The #HEX community is flooding the #cryptocrash hashtag for a reason. Your choice to listen. Prosperity comes with time.,0,1,0
2022-05-10 10:37:42+00:00,DavidJamesOne,We have a number next to the hashtag!  Now is the time to open the flood gates on @twitter #twitterstorm #HEX #hexicans #pls #plsx #pulsechain @RichardHeartWin @PulseGains @CryptoWendyO https://t.co/nVz7OVvBN3,0,5,0
2022-05-05 23:41:04+00:00,HexPleb,@OptimusKevTron1 @Hexologist31 .@nrdgrl007 literally was telling me about the cashtag $Hex getting more exposure than #hashtag #Hex yesterday!!,1,7,0
2022-05-05 13:20:29+00:00,AllBearsMustDie,@alexoncrypto Time for #HEX hashtag gatekeeping,1,8,0
