date,username,content,replyCount,likeCount,retweetCount
2022-06-11 01:03:00+00:00,nanogamesio,"https://t.co/BFlBOcNqjw weekends are for our community✨

🏆100$ $LTC - 2 Winners (50$ each)

✔️RT, Like &amp; Follow
✔️Tag 2 friends with the hashtag #Giveaway #Litecoin #LTC
✔Post your address

🎁Get more in the #casino chat: rains, drops and tips

Winners in 48h🕘
#cryptocurrecy https://t.co/dM3HGfQMv1",533,507,475
2022-05-28 01:03:00+00:00,nanogamesio,"https://t.co/BFlBOd51b4 Weekend #Giveaway 🎰🔥

🏆$100 in $LTC will go to 1 lucky winner

✔️RT, Like &amp; Follow
✔️Leave your #LTC address
✔️Tag 3 friends with the hashtag #Giveaway #Litecoin #LTC

Winner in 48h🕘

#crypto #cryptocurrency https://t.co/K6N4LSZHfT",752,669,576
2022-05-25 02:20:46+00:00,SensicaCommon,"@GailVazOxlade Because they can put aside the 4k deaths in #LTC houses, they didn't read the #CanadianForcesReport, and can turn a blind eye on all those who died or lost hope during #FordFailedThePeople reign of terror. 
Add #fordfailed to any hashtag and see what comes after.",0,0,0
2022-05-19 03:42:53+00:00,Team_Litecoin,The #LTC #Litecoin hashtag bots are strategically implemented. Muffle communication.,0,1,0
2022-05-13 14:51:52+00:00,HoneyBadger_007,"@elonmusk spam/fake accounts  represent more than 5% of users.., closer to 25%.

Search through a #LTC #Litecoin hashtag for reference.",0,0,0
2022-05-06 05:14:34+00:00,toddfmaki,"In a coin race: 1st to reach $1000 dollars, who wins?
#hashtag your answer below 👇🏼
       #DCR
       #LTC 
       #ZEC
       #DASH",5,11,0
2022-04-06 14:03:43+00:00,DrJoanneLynn,"TODAY!  In addition to NASEM's hashtag, use #LTC to get to more folks.  Get lots of influential folks aware of the costs of living with self-care disability and at least beginning to get serious about addressing the imminent poverty of millions of elders! https://t.co/9aPKR743OE",0,0,2
2022-01-28 20:14:10+00:00,sage_saner,Should Twitter add a hashtag emoji to #LTC like #BTC?,1,4,1
2022-01-20 16:50:05+00:00,NSM_SGS,"#ShowtheLove to people who live and work in #LTC and other settings! Share your photos, videos and artwork and use the hashtag so we can spread love and kindness! https://t.co/FWy4xu56M7",0,4,0
2022-01-12 23:53:33+00:00,GuyLuko84,@_CryptoSurf Screw that. I'm gonna hashtag #LTC #Litecoin $LTC into a mega pump! https://t.co/WzFQMXYEZE,0,0,0
2021-12-12 17:49:37+00:00,cryptocub,"Man, I thought I had clicked on a #Litecoin hashtag or something, turns out it was just me feed. LTC post after #LTC post.",0,2,0
2021-11-10 12:10:38+00:00,YrhAsh,@MASTERBTCLTC Use the #ltc hashtag,0,1,0
2021-11-07 07:13:42+00:00,freshlivncrypto,"@ArtistByron You should hashtag your tweets? #crypto #cryptocurrency #eos #EOSIO #btc #ada #xrp #LTC #cardano #DeFi #XRPcommunity #bitcoin
Get some spread 👍",0,0,0
2021-11-07 02:39:18+00:00,KingLupinacci,🔥 #LTC #BTC let’s get the symbol@on the LTC hashtag 🙏 https://t.co/XQ0DlwTMUU,0,0,0
2021-11-05 10:39:50+00:00,LitecoinNow,@MASTERBTCLTC #LTC will trend only if you use the hashtag #Litecoin! https://t.co/CJg04LMqRD,1,11,3
2021-10-26 22:14:59+00:00,checkerdog87,"@Twitter 
when emoji for #ltc #eth #xrp 
#hashtag 
@TwitterSupport",0,0,0
2021-10-25 04:52:31+00:00,BitcoinLtcBtc,@lite_hause Use Hashtag #LTC and #Litecoin for more engagement,2,17,2
2021-10-19 08:27:55+00:00,pablo_algoboss,I will RT every #LTC tweet I’m tagged in.. starting.. now! *must include the hashtag #litecoinisLIT,2,3,1
2021-10-06 22:01:08+00:00,LitecoinMag,As of 6pm est #LTC #Litecoin is currently trending KEEP IT GOING. USE THAT HASHTAG AND FOLLOW US FOR NEWS UPDATES SPECIFIC TO LITECOIN https://t.co/jAXIIPhGd1,1,47,8
2021-09-28 20:34:51+00:00,cen4ard,"If you do any of our #MontessoriInspiredLifestyle® activities, we’d love to see your photos! Send us your photos or tag @cen4ard in your post and use the hashtag #dignityequalityrespect, and we may share your activity!😃

#12montessoriprinciples #montessorifordementia #ltc",0,0,0
2021-09-26 23:44:14+00:00,LitecoinNow,"@LTCFAN1 @MegaChunkyBuns @lite_hause if i only used hashtags #ignitethefire #litecoinfam #paywithlitecoin #DigiByte and #amp #LFG I would get engagement only from litecoin fam 
BTW #paywithlitecoin is an excellent hashtag to promote with #Litecoin because it ties into a feature of #LTC",0,2,0
