date,username,content,replyCount,likeCount,retweetCount
2022-07-07 20:36:20+00:00,ArathnaMehra,"Thank you #PayBolt for giving an amazing recognition to $LUNC 

The #LUNC community is really thankful to you. 

Like RT with hashtag #PayBolt guys 

Follow @PayBoltOfficial 💕 

#LUNA #lunac #LUNAClassicCommunity #LUNCarmy #LUNC_on_the_MOON https://t.co/wQwsCdwUkL",2,38,21
2022-07-02 15:03:11+00:00,ansel_tech,"$LUNC RT!!! 🚨🚨🚨🚨🚨

@cz_binance I created this Hashtag 
“ #BinanceLUNCburn “ out of pure SPECULATION

But I’m thinking @binance can make it a REALITY!!
 
Let’s GET VIRALLY TRENDING💪🏻

https://t.co/KJfV5bJCNo
#LUNC #LUNA $LUNA $USTC #LUNCBURN https://t.co/4HBnwJuowY",1,7,3
2022-07-01 17:26:22+00:00,aballarde53,"$LUNC RT!!! 🚨🚨🚨🚨🚨

@cz_binance
 I created this Hashtag 
“ #BinanceLUNCburn “ out of pure SPECULATION

But I’m thinking 
@binance
 can make it a REALITY!

Use/Retweet all #BinanceLUNCburn 
Let’s GET VIRALLY TRENDING💪🏻

https://t.co/jYBOIkyJ8E
#LUNC #LUNA $LUNA $USTC #LUNCBURN https://t.co/FC1XBNtGWO",1,2,2
2022-07-01 17:17:43+00:00,DK64Trades,"$LUNC RT!!! 🚨🚨🚨🚨🚨

@cz_binance I created this Hashtag 
“ #BinanceLUNCburn “ out of pure SPECULATION

But I’m thinking @binance can make it a REALITY!!

Use/Retweet all #BinanceLUNCburn 
Let’s GET VIRALLY TRENDING💪🏻

https://t.co/Fn2MuseREJ
#LUNC #LUNA $LUNA $USTC #LUNCBURN https://t.co/0ThRBGqLCR",61,694,439
2022-06-23 16:08:11+00:00,Raybbcmanc,Who are all these fake shill accounts on this hashtag? #lunc price is going to zero both #luna and #lunc. I wonder why @stablekwon is still walking free and tweeting statements that are upsetting to investors who lost money. Stop all this fake shill and burn nonsense!,1,0,0
2022-06-22 13:35:02+00:00,AtwoodGissing,"Twitter Bots are sniffing around hashtag,ie. #NFT #tezos #Ethereum #dogecoin #Polygon #MATIC #LUNA https://t.co/7HonLFOzhN",1,1,0
2022-06-14 02:18:25+00:00,metabange,"⭐️ #CLUNA: MeMe Contest
🏆 The 3 most creative submissions win
🏆 Each winner will receive BNB
⭐️ Rules
✅ Quote this post with your original meme and use the hashtag #ClunaMemeContest.
✅ RT and like this tweet.
🗓 Deadline before 1am UTC on June 17, Friday 
#BSC #BNB  #LUNA",131,92,69
2022-06-14 01:32:31+00:00,inu_eth_,"⭐️ #CLUNA: MeMe Contest

🏆 The 3 most creative submissions win
🏆 Each winner will receive BNB

⭐️ Rules

✅ Quote this post with your original meme and use the hashtag #ClunaMemeContest.
✅ RT and like this tweet.
🗓 Deadline before 1am UTC on June 17, Friday 

#BSC #BNB #LUNA https://t.co/okiCACrWvQ https://t.co/oAS4WkCvjS",1,10,5
2022-06-14 00:09:14+00:00,EliasMorpheus,"⭐️ #CLUNA: MeMe Contest

🏆 The 3 most creative submissions win
🏆 Each winner will receive BNB

⭐️ Rules

✅ Quote this post with your original meme and use the hashtag #ClunaMemeContest.
✅ RT and like this tweet.
🗓 Deadline before 1am UTC on June 17, Friday 

#BSC #BNB #LUNA https://t.co/kD5tCHPQYY",60,124,76
2022-06-12 00:26:40+00:00,larrythelunc,"Attention: 

On June 14th, at 6:00PM UTC (4:00 EST, 1:00 PT) every lunatic on this app is going to tweet using the hashtag #BinanceBurnLuna, to urge @cz_binance to implement the burns in proposals passed by the communities. 

#luna #lunc #lunaclassic #dokown #letitburn",0,3,1
