date,username,content,replyCount,likeCount,retweetCount
2022-07-29 14:55:49+00:00,BDC_Archive,"Dear @Twitter and @paraga, we #BabyDogeCoin want #BabyDoge logo in our own hashtag as #Bitcoin and #BNB We therefore request that the #SHIB logo appears with the hashtag. 💎🙌🤗 https://t.co/NpNHPfokmj",86,494,130
2022-07-29 14:13:48+00:00,no_buddy1,@shopping_io @Shibtoken @Shibtoken #shib #SHIBARMY  hey why aren’t my staking rewards showing up. I hashtag the army I better get some replies,0,0,0
2022-07-29 14:07:13+00:00,ShibInfo,"Dear @Twitter and @paraga, we #SHIBARMY want $SHIB logo in our own hashtag as #Bitcoin and #BNB We therefore request that the #SHIB logo appears with the hashtag. 🙏🏼

🗣️WOOF!",50,696,146
2022-07-25 02:11:10+00:00,YNPCOIN,"1 Make Meme on $NEAR
2 Tag @NearMemeDaily
3 Use Hashtag $NEAR
4 Retweet to Get #SHIB

@cctip_com airdrop 20000 SHIB 5000 https://t.co/iBdiyafiHp",14,65,83
2022-07-24 21:49:15+00:00,IrelandShib,"Goodnight #SHIBARMY and to those who want to tweet about #SHIB but can't find the words or don't have time remember just throw in a hashtag with #shibainu , #SHIBARMY or anything . Even a simple tweet keeps promoting #shiba and keeps it trending. A simple tweet goes a long way",14,155,46
2022-07-24 14:45:16+00:00,sachins931,Every 2nd day #shib used to be too on hashtag's. I'm loving it❤️,0,2,1
2022-07-24 04:23:09+00:00,DonLandoni,"Buy yourself 1,000,000 $SHIB everytime you use any #SHIB hashtag. That is all. #SHIBARMYSTRONG, I just bought 3,000,000. 💯 https://t.co/zOq2Jcg4x7",0,2,0
2022-07-22 09:08:55+00:00,delomiro,"Could we get logo behind #SHIB hashtag, like #BTC and #TRON have? @TwitterSupport
#SHIBARMY would appreciate it. 💜 https://t.co/VGM30DAmQ1",0,0,0
2022-07-22 02:05:10+00:00,QualityFren,"#SHIB Trending with 91.9K Tweets. 
The 4th Shiba related hashtag Trending Today, #ShibArmy gettin’ busy! https://t.co/aNbaBr9u6t",15,163,53
2022-07-21 00:08:54+00:00,THESHIBLIFE,"@HolyCrababa @NacksNic @impeppard @StinkyCubert @ObserverShi @DustinMoon16 @shibowski1908 @YuuTadashi @ShillHappy @AzertyY27721347 @DanielMunson2 @C_E_P_T_A @Patri0tThe @jimbo_mad @Babar_0707 @saitatoshi @SHIBAINUCRYPTON @_Lady_Crypto_ @rosh1ba @jrawh @BeishuizenEllen @ShibaArizona @AmbaNsor @ToniaDang7 @drudown099 @ShibBender @TheBus37643251 @ISHIBELIEVE @Shibamoonshop @Ttello77 @Mrs_JaPiFace @DntMindMe__ @DonLandoni @JeremyShibarmy @ArnisJeremy @thorgod21 @my_pazu @ArchiMoras @Crypto__Afrique @Guigao180 @bbeyondm1 @EnriqueSimo28 @sarah_weronik @cheggy19 @Hamza_khan8865 @shiba_jim @teri__bell__ @Keith_Griff_ @JFlow53 @Heath40338389 #SHIBARMY #SHIBARIUM #SHIBASWAP #SHIB $SHIB
#BONE $BONE $LEASH #LEASH #WOOF #WOOF
I tried to read and follow this, but there's no sense to it. Nonsense. I can see you're trying to get in more tweets with your hashtag on this thread to advertise, so I'm blocking all of you. https://t.co/i9pFaDKp3s",0,5,0
2022-07-20 18:20:08+00:00,dacryptophantom,"bro I’m sorry but #shib (#shibainu or whatever the hashtag is) is a garbage coin that should not be bought 

SORRY BUT I AM RIGHT 🤷
#dogecoin too that stuff SUCKS 🤣",3,2,0
2022-07-19 18:17:50+00:00,Hardballhot,"@safemoon #SAFEMOON hashtag everyone.
#shib
#btc
#eth
#BabyDoge 
#cro
Just keep on chuggin'!!",0,1,0
2022-07-17 12:59:35+00:00,chancey333,"Let’s Keep @CheemsInu Trending Hashtag #cheems #cheemsinu
@majesticboss55 @1goonrich @CheemsAdvocate
🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢 #CHEEMSARMY #BSCGems #binance #vesting   #Coinbase #Crypto #Saitama #CryptoNews #BabyDoge  #BSCGem #BNB #ETH #SHIB #sandbox #MANA  #DogeElon #matin https://t.co/yCY1NZI5Fq",8,61,16
2022-07-06 03:20:07+00:00,haries_taufan,"why is there no hashtag #bone in @ShytoshiKusama  tweet?

maybe because $bone is an ecosystem dependency. so no need to bring up the hashtag #bone.

has been represented with the hashtag #Shibarium 

#SHIBARMY #shib #leash #bone #shi #SHIBOSHIS",0,3,0
2022-07-02 05:34:30+00:00,frogjolee2,"Dear @Twitter and @jack, we #SHIBARMY want $SHIB logo in our own hashtag as #Bitcoin and #BNB We therefore request that the #SHIB logo appears with the hashtag. 

🗣️WOOF!",0,2,1
2022-07-01 19:28:18+00:00,ShibInfo,"Dear @Twitter and @jack, we #SHIBARMY want $SHIB logo in our own hashtag as #Bitcoin and #BNB We therefore request that the #SHIB logo appears with the hashtag. 

🗣️WOOF!",91,594,128
2022-06-30 12:53:42+00:00,PixieCorrine,@ShibaMaximalist You should hashtag #SHIB in your tweets. 😊💚,0,1,0
2022-06-26 20:08:31+00:00,ElaineWat3,All I want is for #SHIBARMY to attach hashtag #SHIB or #WellyFriends to this post 🥳🥳🥳❤️🧡❤️🧡 https://t.co/PzafxhZztP,0,0,0
2022-06-26 19:29:57+00:00,ShibaMyInu,"🔥 #SHIB 🔥
And just to be clear,
 it's #Shib 
with a hashtag #️⃣ 😏",0,6,1
2022-06-25 13:59:41+00:00,Keenanjoeyy,All I want is for #SHIBARMY to attach hashtag #SHIB or #WellyFriends to this post 🥳🥳🥳❤️🧡❤️🧡 https://t.co/8UHhBeFBCr,1,2,2
2022-06-24 15:51:46+00:00,ShibaMyInu,"#Soon #Shibarium
Aye!!!! Let's Get It 🔥🔥🔥🔥

And it's #SHIB, don't forget the hashtag 😎👍🏾 https://t.co/xdUSNTtGEl",0,2,1
2022-06-24 04:50:38+00:00,Saita_United,"@SaitamaShill @SaitaKanOnline Love the tweet put Ryan but We need to hashtag other comms though

#crypto #Cryptocurency #BTC #Shib #Alts #CryptoNews ... etc

Your twet land further etc and message will have a wider impact. 

Keep going pal",4,5,2
2022-06-24 04:28:05+00:00,DonLandoni,@THESHIBLIFE @Raimoongeei @SHIB_HEAD $SHIB is algorithmically recognized as a “crypto ticker.” #SHIB is for standard use of a “hashtag.” Using both is better for circulation and spreading the good word of the unstoppable #SHIBARMY ✌🏻❤️,1,5,4
2022-06-13 03:40:05+00:00,Shibaunitedus,Hey #SHIBARMY LETS GET #SHIBTOTHEMOON HASHTAG BREAK THE INTERNET #SHIB TO THE MOON 🔥🔥🔥🔥🚀🚀🚀🔥🚀🚀🚀🚀🚀🚀🚀🔥🚀🚀🔥🔥🔥🔥🔥🔥🚀🔥🔥🔥🔥🚀,19,298,71
2022-06-10 22:07:13+00:00,txazgirl,Why no #SHIB Hashtag @WatcherGuru?!!! 😏 #SHIBA https://t.co/DwnTpeqGW0,0,2,1
2022-06-10 15:23:38+00:00,shrimptradr,"#crypto winter is here #shrimps, pace your investing. You have plenty of time. #btc #eth #shib fix you crashes solana if you want a hashtag",1,1,0
2022-06-07 18:38:30+00:00,GossipShib,"Step up  your game or be quiet!

  #SHIB to the Moon won't get us anywhere!
  This is a line for scammers.

To be seen and talked about while the developers build the best layer 2 behind the scenes, this is the whole game .. 
Use hashtag, share info, reach out to celebrities..",24,301,69
2022-06-04 00:19:05+00:00,TheShibMaster,Another Great Community member going out of his way to help and support #SHIB (with a hashtag) https://t.co/fW289Dc5iz,0,3,0
2022-06-03 17:25:41+00:00,zackdrury1988,@ShibaMyInu @Dezaxe An furthermore in my investigation. On particularly #Shib on Twitter . It’s better to have a hashtag. Capturing the ring already established furthermore pushing the $shib attention out to its circle then going out from the circle of subscribers.,1,13,3
2022-06-03 12:43:45+00:00,BitchItsShiba,@WatcherGuru PUT A FUCKING HASHTAG IN FRONT OF #SHIB,0,7,0
2022-06-03 11:46:26+00:00,ShibaMyInu,"@WatcherGuru Perhaps it's #ShibaInu 
It's a simple hashtag but please do remember the # 
#Shib
#ShibArmy",6,39,13
2022-05-31 13:42:43+00:00,NipperCrypto,"Projects/Blockchains I would like to see listed in the #StrikeX | @StrikeXofficial wallet in 2022 ⏬

#SAFEMOON 
#ADA 
#SHIB 
#BLOK 
#STEPN 
#TRX 
#AVAX 
#ATOM 
#XTZ 
#ZIL 

Do you have any projects you'd like to see listed? 

Comment below with the hashtag ⤵️ https://t.co/3xnpr4Xa7V",7,36,14
2022-05-29 14:52:48+00:00,SageCRS,$SHIB.X only post hashtag #shibarmy nothing else Let’s go!!! DO IT FOR THE #Shib 🔥🔥🔥🔥🔥🔥,0,8,3
2022-05-29 10:28:32+00:00,HoustonVita,#ShibaDoge is trending higher worldwide 🚀 lets keep tweeting our hashtag to take over Twitter 🔥Missed #Shib ? Missed #…,1,0,0
2022-05-23 10:16:30+00:00,Jake_and_Elise,"@WatcherGuru C’mon, let’s get that hashtag right. It’s #SHIB! Thanks.🙃",2,2,0
2022-05-23 09:54:46+00:00,NaveenKumar2287,@WatcherGuru I am wondering why you are not putting Hashtag for #Shib alone..,0,3,0
2022-05-21 23:40:37+00:00,esim24,@WatcherGuru why not #shib #hashtag #lame @WatcherGuru,0,3,1
2022-05-21 16:28:55+00:00,shib_mehta,"@WatcherGuru #Shibainu #shiba #SHIB 
You can use any of the above hashtags🤓but use the hashtag otherwise biasedness will be feel #SHIBARMY 🪖",3,5,1
2022-05-05 06:13:12+00:00,RealShibaDoge,"#ShibaDoge is trending higher worldwide 🚀 lets keep tweeting our hashtag to take over Twitter 🔥

Missed #Shib ? Missed #Doge ? Don’t miss #ShibDoge https://t.co/g0VyS143S1",56,358,173
2022-05-01 04:36:17+00:00,writerlyai_bot,"@blithe_lena To burn is to release energy or heat. It is often used to describe the act of destroying something, such as a document or a building. The hashtag #Shib #ShibArmy refers to the Japanese rock band Shibboleth,",0,0,0
2022-04-26 14:01:49+00:00,KasmKurt82,"#Hashtag🎉$8,000 worth of SHIB #GIVEAWAY 
🤩Invite Friends to register @gate_io 
🤑Total 80 winners share $8000 SHIB #Airdrops 
✅Invite more friends➡️more chance to WIN
✅Invite friends to register:
https://t.co/L6l3Fbo2dE
https://t.co/m3eRm3N873
👉Join this #gateio #shib",0,0,0
2022-04-23 10:58:43+00:00,Ana83112,@iamstevencooper You should take out the #SHIB  that should be  used only for the shiba family and those wanting some form of attention via Shib community. You can explain everything without the hashtag and then when anyone comes to your page to tweet something negative they can see it,0,0,0
