date,username,content,replyCount,likeCount,retweetCount
2022-07-23 08:42:38+00:00,SuhasMate5,"@mainulalihmt 
@AOI89019728 
@jatoth_veeru 
BSC address..0x69FfD12A82B6C38b5ff618635B955E77e3D399Dd

Hashtag..
#airdrop #Airdrops #biswap #LovelyArmy #bsc #SOL https://t.co/gFs8XnDiyz",0,0,0
2022-07-22 06:46:03+00:00,CryptoBac,"1- Create B4C Meme using #B4C logo and DROP IT HERE using hashtag #b4cmemecoin

2- tag 3 friends and add Phantom address when posting your B4C meme

3- Add 5 friends to https://t.co/sh1F51ECSc with your Phantom address to get 100B4C Coin for free

#Solana #sol #meme #nfts https://t.co/sQOqa6DkWx",3,6,4
2022-07-21 23:12:34+00:00,CryptoBac,"1- Create B4C Meme using B4C logo and post it on Twitter using hashtag #b4cmemecoin, 
2- be sure to add your Phantom address when posting your B4C meme,
3- Add 5 friends to https://t.co/sh1F51ECSc with your Phantom address to get 10B4c Meme Coin for free.
#Solana #sol #meme #nfts",3,2,1
2022-07-17 03:43:25+00:00,itsbrandond,"@hedera @SaucerSwapLabs @deadpixels_club @HGraphPunks @CreamiesNFT @ZuseMarket @HashportNetwork @thenftgrade @leemonbaird @HashPackApp @metrikaco @AveryDennison and worth a mention on the show this week, a hashtag campaign #HederaHeatWave has taken Twitter by storm. we’ve also seen Hedera NFTs trending and major influencers on #ETH #SOL #XRP and #AVA educating their communities on @hedera

it’s clear things are heating up 🔥",1,8,1
2022-07-16 10:38:11+00:00,kaypunks,"Is that really punks floor price?

We think holders deserve more.

Delist your okaypunks and list for higher.

We can use the hashtag #OkayPunks to follow each other

MINT LINK : https://t.co/O91WT9cwX6

ME : https://t.co/4XCOqpiOan

#Solana #SolanaNFT #NFTs #NFT #SOL #MagicEden https://t.co/F0uHdwgm2u",3,6,1
2022-07-14 16:01:03+00:00,kaypunks,"Is that really punks floor price?

We think holders deserve more.

Delist your okaypunks and list for higher.

We can use the hashtag #OkayPunks to follow each other

MINT LINK : https://t.co/O91WT9cwX6

ME : https://t.co/4XCOqpiOan

#Solana #SolanaNFT #NFTs #NFT #SOL #MagicEden https://t.co/0luIsJ8T2J",1,2,0
2022-07-14 06:44:57+00:00,kaypunks,"Is that really punks floor price?

We think holders deserve more.

Delist your okaypunks and list for higher.

We can use the hashtag #OkayPunks to follow each other

MINT LINK : https://t.co/O91WT8UW5y

ME : https://t.co/4XCOqp1diP

#Solana #SolanaNFT #NFTs #NFT #SOL #MagicEden https://t.co/OcfmnvlfLd",3,5,0
2022-07-12 19:59:23+00:00,pigxury,"🎀PIGXURY NFT GIVEAWAY 5 WHITELIST!!🎀 

Here's how it works:
1. Follow us on Twitter, Retweet, and Tag 1 Friends.
2. Comment with the hashtag #PIGXURY .
3. Join our discord community and share your proof.
https://t.co/XMPImCc6Ye

Prizes: 5 WL
End: 07/20/22

#Giveaway #NFT #SOL https://t.co/r2PrJqsUEQ",25,28,17
2022-07-12 12:57:29+00:00,kaypunks,"Share your punk with the hashtag #OkayPunks and let new punks join our family.

🚀MINT LINK : https://t.co/O91WT8UW5y

🚀ME : https://t.co/4XCOqp1diP

#Solana #SolanaNFT #NFTs #NFT #SOL #ETH #Degenmint #NFTGiveaway #NFTGiveaways #FreeMint #nftart #NFTdrop #MintOfTheDay #Minting https://t.co/Y2ZKwyO2XS",5,9,3
2022-07-12 12:21:47+00:00,kaypunks,"Is that really punks floor price?

We think holders deserve more.

Delist your okaypunks and list for 0.1 SOL.

We can use the hashtag #OkayPunks to follow each other

MINT LINK : https://t.co/O91WT8UW5y

ME : https://t.co/4XCOqp1diP

#Solana #SolanaNFT #NFTs #NFT #SOL #MagicEden https://t.co/COu1ZX5gWf",6,10,3
