date,username,content,replyCount,likeCount,retweetCount
2022-07-27 07:30:10+00:00,CindrumOfficial,"🎁Weekly Giveaway 5 $USDT 🎁

1️⃣ Join our Discord https://t.co/yTA7mKFT6P
2️⃣ RT tweets ini
3️⃣ Tulis username Discord kalian &amp; mention 3 teman,
      gunakan hashtag #CINDPedey

⏳24 Hours

#CINDRUM $CIND #Giveaway #USDT #Metaverse https://t.co/utg3rWscJ0",35,34,44
2022-07-25 10:12:11+00:00,otp_market,"Giveaway some #Octopusmarket token soon

- Follow me @otp_market
- Like + RT
- Tag 3 your friends + hashtag #TerraFromLabs

Hurry up.
Don't miss the opportunity.

Go to : hhttps://octopusmarket.io to buy #Octopusmarket 🚀🚀 #eth #btc #usdt #token #Bullish https://t.co/azdZV9mlZI",43,27,56
2022-07-19 08:00:01+00:00,CindrumOfficial,"🎁Weekly Giveaway 5 $USDT 🎁

1️⃣ Join our Discord https://t.co/yTA7mKFT6P
2️⃣ RT tweet ini
3️⃣ Jawab Pertanyaan dibawah, tulis username Discord &amp; mention 3 teman kalian, gunakan hashtag #CINDMidSommer

⏳24 Hours

#CINDRUM $CIND #Giveaway #USDT #Metaverse https://t.co/BTqBBdPM6n",14,38,37
2022-07-11 02:37:06+00:00,JackZhu07097482,"Show your spirit animal in Web3 World! Do remember to tag us at @MetaOasisDAO and use the hashtag #Zzoopers for $100 USDT GiveawayHead over to https://t.co/0eTnycMTZu

#MetaOasisDAO #Zzoopers #USDT #giveaways",1,0,0
2022-07-08 03:53:36+00:00,MetaOasisDAO,"Show your spirit animal in Web3 World! Do remember to tag us at @MetaOasisDAO and use the hashtag #Zzoopers for $100 USDT Giveaway!
👉🏻Head over to https://t.co/MgnW8F5fnL

#MetaOasisDAO #Zzoopers #USDT #giveaways https://t.co/urpI811ZvW",47,558,546
2022-07-04 06:32:25+00:00,FairdeskGlobal,"#USDT #Giveaways 🤑
Fairdesk has launched the #spot trading on 30th June! 🤗5 lucky followers will receive 5 $USDT bonus individually!#Crypto 

👇You should:
1⃣ Follow @FairdeskGlobal 
2⃣ RT and like this tweet
3⃣ Add hashtag #FairdeskSpot 

Buy &amp; Sell at: https://t.co/kmStFJU6PN https://t.co/NX1JIoVHkV",53,41,34
2022-06-28 21:09:00+00:00,omeratalay26,"Tweet using the hashtag #SquidGameToken. 

5 lucky people will win $100. 

https://t.co/EKDC5i1muL

#USDT #BinanceTurns5 #SquidGame #SquidGameS2 @netflix @elonmusk @squidgame #SGT https://t.co/68O3ROx9ZF https://t.co/NvyFr9EsJS",0,2,1
2022-06-28 11:46:40+00:00,SquidGameToken,"Tweet using the hashtag #SquidGameToken. 

5 lucky people will win $100. 

https://t.co/TQd1POXhZ0

#USDT #BinanceTurns5 #SquidGame #SquidGameS2 @netflix @elonmusk @squidgame #SGT https://t.co/4I5LbbZVEN",106,73,58
2022-06-28 08:00:47+00:00,FairdeskGlobal,"😍 Twitter Followers' Exclusive Rewards!!!

1⃣ Follow @FairdeskGlobal 
2⃣ RT🔄 this Tweet + Hashtag: #Fairdesk &amp; #SummerCombat 
3⃣ @ 5 friends or team members

🤑 3 lucky users with most likes will win exclusive #USDT bonus. No.1 will receive 15 $USDT , No. 2 win $10, No.3 $5. 💰",27,39,29
2022-06-19 14:57:11+00:00,XManReboot,"@0xHerrCooLes All done 👍🏻✔️

@BittoRanaCrypto
@awacryptoworld
@WaqasAhmedRana
@Shikari_Rajput 

🍀 Good Luck 

#NFTCommunity #Crypto #Çekiliş #Solana #USDT #BUSD #BTC #Ethereum #avax #matic #hashtag",0,0,0
2022-06-15 02:00:00+00:00,CindrumOfficial,"🎁Weekly Giveaway 10 $USDT 🎁

1️⃣ Follow our Instagram https://t.co/92mLGpVQM9
2️⃣ RT this tweet
3️⃣ How many pictures are displayed in CINDRUM's Gallery?, write your Instagram username, &amp; use hashtag #PlayCINDRUM 

⏳24 Hours

#CINDRUM $CIND #Giveaway #USDT https://t.co/TcY84pkDpE",22,39,43
2022-06-09 04:30:08+00:00,CindrumOfficial,"Here are the step how you can win it:
1️⃣ Follow our Instagram https://t.co/92mLGpEfnz
2️⃣ RT this tweet
3️⃣ How much money Aldi has? Tag 3 of your friends, &amp; write your Instagram username, use hashtag #CINDema 

⏳24 Hours

#CINDRUM $CIND #Giveaway #USDT",4,22,21
2022-05-18 03:16:02+00:00,Kelvin_Hashtag,Encounter of faith of hope. #BTC #ETH #USDT #Crypto #invest #wallet #coinbase #blockchain,0,2,0
2022-05-12 16:42:01+00:00,AnadarkoCapital,"#USDT #Tether (I can’t find the hashtag with the T logo - strange!) 

#tether won’t reveal holdings - claims it doesn’t want to let us know how the sausage is made lol",0,3,1
2022-04-10 13:09:56+00:00,Supersnails_nft,"🎉$100 x 10 SuperSnails Whitelist #Giveaway🎉

2 winners of $50 🏆

⏳96 hrs

RULES ⚠️
✅Follow @Supersnails_nft 
✅Like &amp; RT
✅Tag 3 friends with the hashtag #SuperSnailsNFT
✅Join discord: https://t.co/SyY2LDKwZR + SHOW PROOF

#NFTCommunity #NFTGiveaways #ETH #USDT #SOL #NFT",238,3268,3185
2022-04-05 03:55:04+00:00,Kelvin_Hashtag,I am just a holder of two #cryptocurrency waiting for it to boom. 🥰 #WalletInvest #ETH #USDT #BTC  #Blockchain  #Coinbase #Young #Dream,2,0,0
2022-03-31 03:01:40+00:00,Kelvin_Hashtag,God no go shame us. #ETH #BTC  #USDT still vim.✊🏾🕊,0,0,0
2022-02-23 12:56:50+00:00,EnekemG,"Twitter didn't have to do this but this hashtag is just confirmation that I am the fastest paying #Bitcoin, #Ethereum and #Usdt  trader on this street. 

#EnekemGreg𓃵 
#EnekemGreg𓃵
#EnekemGreg𓃵",1,4,2
2022-01-11 03:44:52+00:00,supernftwars,"Presenting #SNW #MemeContest 🙌🏽

Create cool #MEMES on Superhero #NFT Wars and get rewarded in #USDT  💵

To enter: 👇🏽
- Tweet your meme 🐦
- Tag @supernftwars 
- Use the hashtag #SNWMeme
- Tag 3 friends
- Submit your #MEME in #SNW #DiscordServer 👇🏽

Link: https://t.co/B1SdfSgJ5B https://t.co/F8QFdAKI8U",213,191,153
2022-01-09 17:49:29+00:00,Kenneth97748083,#ICP - #USDT - 4HR / Not Financial Advice. Looks like a Cup and Handle Pattern forming. / I love how #ICP has the little Symbol with the hashtag. https://t.co/t6cgAw0tMY,0,18,4
2021-10-29 13:10:00+00:00,CoinMarketCap,"😱 Let’s Play a Game 😈
 
Post Your Scariest 👻 or Funniest 😂
Halloween Themed Meme
Win $500 #USDT Prize Pool (3 Winners)
 
🎃 Retweet &amp; Like this Post
🎃 Tag 3 Friends
🎃 Add #Spooktober #CoinMarketCap Hashtag
🎃 Extra Points for Creativity
 
Deadline Oct 31st (23:59 UTC) https://t.co/MnS4bAJLp0",1214,1902,1182
2021-10-25 15:21:50+00:00,Bitsgap,"This #AVA/USDT trading setup has been working for 16 days straight and generating solid 1% revenue daily! That's #USDT 80 profit so far!

Check out the bot's specs via the link below and share your best-performing results  with #bitsgap_mm hashtag!

https://t.co/Ad2d3w8x0E https://t.co/qaAQL4FMTN",1,6,0
2021-10-19 11:58:38+00:00,NFT_World_News,"Giveaway time! 🔥🔥🔥
10k followers ➡️ 100 USDT split among 5 people 😎

To join:
1. Follow our Twitter account
2. Like this post
3. Retweet this post 
4. Comment this post with hashtag of #NFT you own.

Winners announcement: 22.10. 17:00 
#giveaway #competition #usdt #win https://t.co/R0ZPzoSAK7",123,106,99
2021-10-13 14:03:51+00:00,qorpomarket,"WE WILL SPLIT 200 USDT TO 10 OF YOU WHO 🤑💸

1. Follow our Twitter account - https://t.co/TcOOMTFjtd
2. Like this post
3. Retweet this post 
4. Comment this post with hashtag #qorpomarket 

👉 We will choose the winners on 18.10.2021 
#giveaway #competition #usdt #win #follow https://t.co/9I7VjrRWac",262,248,225
2021-09-04 21:57:28+00:00,Aiden_Valentine,"Also -- look at the hashtag #Tether right now.
#USDT is basically a nuclear bomb waiting to go off and will drop the prices of every cryptocurrency when this scheme collapses.
This news makes it one of the biggest scams in history. To the tune of many *billions* of dollars.",0,0,0
2021-08-16 06:27:09+00:00,SirWhenAirdrop,"$20 worth of USDT #giveaway 

1. RT with hashtag #giveaway #chance
2. Like this tweet

Winner picked in 24 hours

#bounty #giveawayalert #giveaways #win #gift #crypto #USDT",14,54,55
2021-08-07 07:33:39+00:00,Alviah334,"@CryptoGPO Go To Join #YOCO Community, Link: 
Let's kick off the week by using the hashtag #YOCO and getting Yocoin trending on Twitter.  1,000 RT will get 1 winner $20—Let's make some noise, Yoconauts!! 🚀💎 #Yocoarmy #BSCGems  #Crypto #USDT",0,0,0
