date,username,content,replyCount,likeCount,retweetCount
2022-04-23 19:37:33+00:00,CameronRuggles,"@LARamon2 @vikrantnyc @DeroProject So theoretically there's 13 million dollars in marketing, and the only marketing we're seeing is intense spam on Twitter following the #xmr hashtag. 
Couldn't imagine the two could be connected in anyway!",0,3,0
2022-04-16 12:41:54+00:00,Jameel_hashtag,"Strong project.

@NFT__mysterious 

@Bard_NFT 

@EpikNFT 

 #BNBChain #XMR #ROSE https://t.co/mGosguEe8E",0,1,0
2021-10-26 16:30:55+00:00,_Never_Sell_,"hey @jack and @twitter, can you give the @monero people their hashtag emblem please #xmr #Monero",0,0,0
2021-07-23 12:00:29+00:00,x3mity,@vikrantnyc @NeerajKA @jack Custom hashtag logos can be purchased from Twitter. Crowdsource this for #xmr?,1,1,0
2021-07-18 05:13:38+00:00,FOSSingularity,"WordAds are garbage, so Fossingularity is now Ad-Free! If ya think I’m worth supporting and ya able, you can always send some Monero / XMR my way with this QR: #XMR #Monero #cryptocurrency (yeah, I used the forbidden hashtag, Forgive me 😂) https://t.co/hME7c0Ldme",0,1,0
2021-07-06 23:29:06+00:00,monero,"Join us for our second Twitter Space on recent Monero news! Ask questions about anything Monero-related live with the hashtag #MoneroSpace! 

https://t.co/jFNCxbaJ2G #monero #xmr #privacy",15,112,26
2021-04-23 15:29:15+00:00,gingeropolous1,gah i forget to hashtag the stuff. #monero #moneromining  #1cpu1vote @monero #xmr  #hashbrownselfie,1,7,0
2021-02-17 16:44:56+00:00,kno_wun,#cancelstudentdebt is the dumbest hashtag ever made. The only people benefiting would be the students and schools. Everyone else will be left with the bill. Even when money is created out of thin air the poor and middle class will pay through inflation. #bitcoin #xmr #digibyte,0,2,0
2021-02-14 18:44:51+00:00,CameronRuggles,"The hashtag #XMRketing is important so I can find you. Your address is important so I can pay you. 

Retweet above tweet to help this get off the ground. 

#XMR #Monero #cryptocurrencies #crypto #Bitcoin #BTC",1,4,0
2021-02-04 20:59:24+00:00,Poloniex,"Just 3️⃣ hours left to share a screenshot of your #XMR #Futures position to win from 300 $USDT!

Enter:
✅ Follow @Poloniex
✅ Comment or repost w/ a screenshot of your position
✅ Tag 3 friends w/ the hashtag #XMRFutures

🗓️ Ends today at 23:59 (UTC)
🎉 10 winners, 30 $USDT each https://t.co/dUUFBPyRPL",24,13,15
2021-02-03 18:42:19+00:00,Poloniex,"Share a screenshot of your #XMR #Futures position now to win from 300 $USDT!

Enter:
✅ Follow @Poloniex
✅ Comment or repost with a screenshot of your position
✅ Tag 3 friends with the hashtag #XMRFutures

🗓️ Ends Feb 4th at 23:59 (UTC)
🎉 10 winners, 30 $USDT each https://t.co/AciDipPgIt",16,22,13
2021-02-02 06:52:21+00:00,Poloniex,"To celebrate #XMR #Futures on #Poloniex, share screenshots of your position and win from 300 $USDT! 

To Enter:
✅ Follow @Poloniex
✅ Comment or repost with the screenshot
✅ Tag 3 friends with the hashtag #XMRFutures

🗓️ Ends Feb 4th at 23:59 (UTC)
🎉 10 winners, 30 $USDT each",74,62,35
2021-02-01 00:00:25+00:00,Poloniex,"To celebrate #XMR #Futures on #Poloniex, share screenshots of your position and win from 300 $USDT! 

Enter:
✅ Follow @Poloniex
✅ Comment or repost with the screenshot
✅ Tag 3 friends with the hashtag #XMRFutures

🗓️ Ends Feb 4th at 23:59 (UTC)
🥳 10 winners, 30 $USDT each https://t.co/ad5vwwQb4p",64,50,25
2021-01-10 02:48:32+00:00,btcmonero,"Cool. SWIM was able to buy #Bitcoin on #CashApp , swap it with #XMR on @cakewallet , send to ledger(still mad, no hashtag 4u) via #Monero GUI on an airgapped Windows (no judgement) pc and verify the completed transaction with @monerujowallet w/ldgr 30-45mins or so total w/confrms",2,7,1
2020-09-10 11:55:29+00:00,cryptojays,"The crypto world needs to see this - retweet for hashtag awareness!

#btc #bitcoin #bnb #binance #crypto #cro #cryptocurrency #blockchain #etn #electroneum #ltc #xrp #litecoin #eth #ethereum #DeFi #tron #bat #eos #link #chainlink #xrp #dot #ada #xmr #xlm

https://t.co/yny9Y5xP9S",1,47,25
2020-05-27 20:36:36+00:00,xmroutreach,"Hey #Monero world. Help us ping #xmr accepting businesses and encourage them to let #cryptotwitter know with the #WeAcceptMonero hashtag. Free retweets from @xmroutreach 😁

You can start with the businesses on these lists:
https://t.co/4eFcfUn45B
https://t.co/hvniiLVR0M https://t.co/jzHVnQpoST",0,8,1
2020-05-26 12:10:17+00:00,xmroutreach,"Does your business accept #XMR for payment? Let us know by posting with the #WeAcceptMonero hashtag and we might give you a retweet! 🔥

#Monero #MoneroMeansMoney #cryptocurrency #cryptotwitter https://t.co/IjjSjL0IKp",10,82,24
2020-03-12 11:08:15+00:00,nils_leone,NO PANIC ! HODL !!! Hashtag in support of bitcoin  -#GODBLESSBITCOIN ! #blockchain  #ETH #BTC #XPR #FSN #BCH #LTC #NEO #EOS #XLM #XMR #ADA #XVG #TRX #BCN #ETC #TRON #AION #ZIL #ICX #OCN #LSK #NANO #BTM #NKN #QSP #halving #bitcoin #money #germany #Australia #Europe #USA #Japan https://t.co/V3PWwvQPfS,2,2,0
2019-11-25 00:05:14+00:00,CryptoNaut11,👨‍🚀Let's get the #shortbitcoin hashtag trending to get the algo trading bots to flip bullish. Use AI to our advantage🤔😱 ➡️#DYOR #BTSE $NEXO #Dai #bitcoin #BTC #btc #ETH #LTC #XLM #LitecoinFam #ZRX #ICX #XMR #twitch #FOMO #altcoins #Crypto #Blockchain #XRP #Facts https://t.co/65t7YwcEX9,0,1,0
2019-11-25 00:00:55+00:00,CryptoNaut11,👨‍🚀Let's get this hashtag trending and maybe we'll find a Bitcoin bottom ➡️#shortbitcoin⬅️ ➡️#DYOR #BTSE $NEXO #Dai #bitcoin #BTC #btc #ETH #LTC #XLM #LitecoinFam #ZRX #ICX #XMR #twitch #FOMO #altcoins #Crypto #Blockchain #XRP #Facts,0,0,0
2019-03-11 00:29:07+00:00,williamgrahamiv,"I'm calling it now:

This is how the #DeleteTexas hashtag is born.

The whole ""you can't use your own money without asking for permission"" seems particularly UN-Texan.

#BTC #XMR #PRIVACY
@aantonop @brucefenton @fluffypony @nlw https://t.co/oYrw0YtjEo",1,5,0
2019-03-04 13:40:06+00:00,JoeManzanares,"Coinbase Director Defends Exchange Over #DeleteCoinbase Hashtag
👉👉 https://t.co/49fivEVVXA  /By Adrian Barkley

#BlockChainNews
#BTC #BCH #LTC #ETH #XLM #EOS #ADA #DASH #XRP #ETC #XMR #USDT https://t.co/NdgTGl86jc",0,2,0
2019-01-14 14:15:08+00:00,AmmbrPlatform,"You can join the @AmmbrPlatform crowdsale at https://t.co/HABxHTd94l - there are only 400,000,000 #AMR tokens available, so get yours now by paying with either #BTC, #ETH, #XMR or #STEEM. Tweet us using the #Ammbr hashtag and let us know how excited you are! https://t.co/VniHgPHGxv",3,18,25
2019-01-14 12:03:03+00:00,AmmbrM,"You can join the @AmmbrPlatform crowdsale at https://t.co/9L619yiOBk - there are only 400,000,000 #AMR tokens available, so get yours now by paying with either #BTC, #ETH, #XMR or #STEEM. Tweet us using the #Ammbr hashtag and let us know how excited you are! https://t.co/GEaCJ6m1yl",7,33,25
2018-12-31 17:05:06+00:00,panter993,"The FUD Stompers: Like It or Not, XRP Army Is Winning Crypto’s Hashtag War https://t.co/XODmGDmKWY #tron #trx #tron #dogecoin #RDD #IOST #Yee #xvg #vergecurrency #Vergefam #IOTA #XMR #xrp #coinmarketcap #stellar #xlm #ADA #NEO #TRX #tron #RBX #icx #icon #DeepOnion #DGB #Ethos #…",0,0,0
2018-10-20 09:28:27+00:00,psuavobama,"#monero #xmr #hashrate... hashtag hashrate, haha... immense v8 decrease: is it #nicehash or #asics or just people who didn't manage to update their software on time?",0,0,0
2018-06-22 05:55:58+00:00,MaybeStrange00,"21e800: Bitcoin, Satoshi and the Mystery Twitter Is Obsessing Over
Do you know the hashtag?
#altcoins #decentralised #amsterdam #airport #airplane #eth #cloak #btc #ltc #xvg #trx #monero #zcash #bcash #ripple #stellar #cardano #eos #ico #decentralized #xmr https://t.co/hgNPOWMqBW",0,1,0
